L        TxT           TxW1         W1xW1       
388   1.018441e-14  5.772306e-14  1.386658e-07
389   1.007839e-14  5.713985e-14  1.380308e-07
390   9.975811e-15  5.656314e-14  1.374000e-07
391   9.876608e-15  5.599282e-14  1.367732e-07
392   9.780656e-15  5.542878e-14  1.361505e-07
393   9.687990e-15  5.487091e-14  1.355318e-07
394   9.598485e-15  5.431910e-14  1.349172e-07
395   9.512097e-15  5.377325e-14  1.343064e-07
396   9.428782e-15  5.323325e-14  1.336997e-07
397   9.348457e-15  5.269899e-14  1.330968e-07
398   9.271121e-15  5.217038e-14  1.324979e-07
399   9.196693e-15  5.164732e-14  1.319028e-07
400   9.125132e-15  5.112971e-14  1.313115e-07
401   9.056400e-15  5.061746e-14  1.307241e-07
402   8.990417e-15  5.011052e-14  1.301405e-07
403   8.927147e-15  4.960883e-14  1.295606e-07
404   8.866551e-15  4.911235e-14  1.289844e-07
405   8.808515e-15  4.862102e-14  1.284119e-07
406   8.753006e-15  4.813482e-14  1.278431e-07
407   8.699987e-15  4.765368e-14  1.272779e-07
408   8.649387e-15  4.717756e-14  1.267163e-07
409   8.601097e-15  4.670642e-14  1.261583e-07
410   8.555161e-15  4.624022e-14  1.256038e-07
411   8.511397e-15  4.577890e-14  1.250529e-07
412   8.469850e-15  4.532242e-14  1.245054e-07
413   8.430452e-15  4.487075e-14  1.239614e-07
414   8.393139e-15  4.442384e-14  1.234208e-07
415   8.357807e-15  4.398165e-14  1.228836e-07
416   8.324503e-15  4.354413e-14  1.223498e-07
417   8.293091e-15  4.311124e-14  1.218193e-07
418   8.263581e-15  4.268295e-14  1.212921e-07
419   8.235876e-15  4.225921e-14  1.207683e-07
420   8.209987e-15  4.183999e-14  1.202477e-07
421   8.185817e-15  4.142524e-14  1.197303e-07
422   8.163310e-15  4.101493e-14  1.192162e-07
423   8.142477e-15  4.060901e-14  1.187052e-07
424   8.123225e-15  4.020746e-14  1.181974e-07
425   8.105500e-15  3.981022e-14  1.176928e-07
426   8.089279e-15  3.941727e-14  1.171912e-07
427   8.074441e-15  3.902857e-14  1.166928e-07
428   8.061033e-15  3.864408e-14  1.161974e-07
429   8.048902e-15  3.826376e-14  1.157050e-07
430   8.038030e-15  3.788758e-14  1.152157e-07
431   8.028399e-15  3.751551e-14  1.147294e-07
432   8.019926e-15  3.714751e-14  1.142460e-07
433   8.012630e-15  3.678354e-14  1.137656e-07
434   8.006394e-15  3.642358e-14  1.132881e-07
435   8.001237e-15  3.606758e-14  1.128135e-07
436   7.997112e-15  3.571552e-14  1.123418e-07
437   7.993972e-15  3.536736e-14  1.118730e-07
438   7.991772e-15  3.502307e-14  1.114070e-07
439   7.990498e-15  3.468261e-14  1.109438e-07
440   7.990075e-15  3.434596e-14  1.104834e-07
441   7.990457e-15  3.401308e-14  1.100258e-07
442   7.991571e-15  3.368395e-14  1.095709e-07
443   7.993407e-15  3.335852e-14  1.091187e-07
444   7.995891e-15  3.303678e-14  1.086693e-07
445   7.998983e-15  3.271869e-14  1.082226e-07
446   8.002644e-15  3.240421e-14  1.077785e-07
447   8.006834e-15  3.209333e-14  1.073371e-07
448   8.011578e-15  3.178601e-14  1.068983e-07
449   8.016807e-15  3.148223e-14  1.064621e-07
450   8.022483e-15  3.118194e-14  1.060285e-07
451   8.028599e-15  3.088513e-14  1.055975e-07
452   8.035151e-15  3.059175e-14  1.051690e-07
453   8.042040e-15  3.030174e-14  1.047431e-07
454   8.049261e-15  3.001507e-14  1.043196e-07
455   8.056750e-15  2.973168e-14  1.038987e-07
456   8.064473e-15  2.945153e-14  1.034802e-07
457   8.072395e-15  2.917458e-14  1.030642e-07
458   8.080454e-15  2.890077e-14  1.026506e-07
